herramienta,Administracion,Ciberseguridad,Data Driven,ML engineer,Programador,Sistemas
redux,2.0,0.0,0.0,0.0,136.0,2.0
remedy,2.0,0.0,6.0,0.0,21.0,29.0
restful,9.0,1.0,5.0,5.0,232.0,8.0
ruby,6.0,2.0,22.0,2.0,77.0,30.0
s4,2.0,0.0,7.0,0.0,7.0,0.0
salesforce,29.0,0.0,63.0,0.0,119.0,14.0
sas,1.0,0.0,59.0,3.0,17.0,2.0
sass,0.0,0.0,2.0,0.0,120.0,0.0
scada,8.0,1.0,11.0,0.0,63.0,49.0
scala,3.0,0.0,136.0,5.0,78.0,11.0
scrum,142.0,2.0,114.0,6.0,647.0,47.0
selenium,79.0,0.0,13.0,0.0,87.0,9.0
servicenow,10.0,0.0,15.0,0.0,32.0,39.0
sharepoint,11.0,1.0,18.0,0.0,46.0,38.0
shell,9.0,2.0,64.0,0.0,72.0,54.0
simulink,1.0,0.0,0.0,0.0,24.0,17.0
snowflake,6.0,0.0,97.0,5.0,21.0,2.0
soap,19.0,1.0,20.0,0.0,250.0,11.0
soapui,15.0,0.0,2.0,0.0,17.0,1.0
solid,68.0,5.0,161.0,12.0,442.0,63.0
sonarqube,9.0,2.0,16.0,0.0,100.0,3.0
spark,8.0,1.0,268.0,10.0,66.0,11.0
splunk,7.0,14.0,25.0,0.0,14.0,11.0
springboot,11.0,0.0,13.0,0.0,219.0,2.0
sql,115.0,4.0,839.0,16.0,1543.0,206.0
ssas,1.0,0.0,11.0,0.0,10.0,1.0
ssis,1.0,0.0,13.0,0.0,25.0,1.0
swagger,13.0,0.0,5.0,0.0,78.0,0.0
symfony,4.0,0.0,6.0,0.0,143.0,0.0
tableau,7.0,0.0,168.0,3.0,17.0,3.0
tensorflow,2.0,2.0,58.0,33.0,36.0,14.0
terraform,12.0,1.0,218.0,7.0,97.0,116.0
tibco,1.0,0.0,3.0,0.0,9.0,2.0
typescript,25.0,1.0,13.0,0.0,604.0,13.0
ubuntu,0.0,2.0,17.0,0.0,11.0,29.0
ui,22.0,0.0,20.0,0.0,354.0,7.0
uipath,1.0,0.0,7.0,0.0,32.0,1.0
unified modeling language,3.0,0.0,20.0,0.0,64.0,8.0
unity,2.0,0.0,7.0,0.0,49.0,8.0
ux,31.0,0.0,72.0,5.0,418.0,34.0
ux/ui,5.0,0.0,10.0,0.0,135.0,1.0
vb,0.0,0.0,0.0,0.0,27.0,1.0
vba,2.0,0.0,27.0,0.0,20.0,4.0
vbnet,1.0,0.0,2.0,0.0,39.0,1.0
visual studio,13.0,0.0,32.0,1.0,123.0,10.0
vsphere,1.0,0.0,3.0,0.0,0.0,28.0
vuejs,15.0,0.0,11.0,0.0,389.0,3.0
weblogic,1.0,0.0,14.0,0.0,27.0,19.0
xml,7.0,0.0,26.0,4.0,194.0,14.0
yaml,1.0,0.0,8.0,0.0,7.0,4.0
zabbix,1.0,0.0,12.0,0.0,0.0,39.0
zos,0.0,0.0,1.0,0.0,5.0,6.0
