administracion,ciberseguridad,data driven,machine learning engineer,programador,sistemas,herramienta
0.0,0.0,0.06666666666666667,0.06756756756756757,0.004155844155844156,0.019774011299435026,Big Query
0.011363636363636364,0.0,0.013756613756613757,0.0,0.044675324675324674,0.002824858757062147,abap
0.045454545454545456,0.0,0.011640211640211642,0.0,0.034805194805194804,0.031073446327683614,adobe
0.05681818181818182,0.26666666666666666,0.01904761904761905,0.0,0.03168831168831169,0.08192090395480225,aleman
0.017045454545454544,0.06666666666666667,0.008465608465608466,0.0,0.0015584415584415584,0.005649717514124294,amazon grc
0.4147727272727273,0.6666666666666666,0.5640211640211641,0.32432432432432434,0.37454545454545457,0.7344632768361582,amazon ws
0.2159090909090909,0.13333333333333333,0.03703703703703704,0.013513513513513514,0.5381818181818182,0.059322033898305086,angular
0.011363636363636364,0.0,0.0031746031746031746,0.0,0.06077922077922078,0.0,angularjs
0.0625,0.0,0.1544973544973545,0.013513513513513514,0.09194805194805195,0.14124293785310735,apache
0.0,0.0,0.008465608465608466,0.0,0.006233766233766234,0.0,apigee
0.46022727272727276,0.06666666666666667,0.12486772486772488,0.04054054054054054,0.5688311688311688,0.11864406779661017,apirest
0.005681818181818182,0.0,0.0031746031746031746,0.0,0.003116883116883117,0.005649717514124294,appian
0.1534090909090909,0.0,0.0031746031746031746,0.0,0.007272727272727273,0.002824858757062147,appium
0.011363636363636364,0.0,0.005291005291005292,0.0,0.1012987012987013,0.0,aspnet
0.4772727272727273,0.9333333333333333,0.5216931216931218,0.20270270270270271,0.2935064935064935,0.8220338983050848,azure
0.017045454545454544,0.06666666666666667,0.17460317460317462,0.05405405405405406,0.013506493506493506,0.00847457627118644,azure databricks
0.4943181818181818,0.26666666666666666,0.4444444444444445,0.04054054054054054,0.571948051948052,0.6016949152542372,base de datos
0.0,0.0,0.0,0.0,0.0015584415584415584,0.0,beautifulsoup
0.3068181818181818,0.06666666666666667,0.38412698412698415,0.06756756756756757,0.12415584415584416,0.1271186440677966,bi
0.2272727272727273,0.8,0.37248677248677253,0.16216216216216217,0.10701298701298702,0.17231638418079095,big data
0.045454545454545456,0.0,0.004232804232804233,0.0,0.10805194805194805,0.00847457627118644,bootstrap
0.4431818181818182,0.5333333333333333,0.10370370370370371,0.13513513513513514,0.6867532467532468,0.4124293785310734,c++
0.13068181818181818,0.06666666666666667,0.021164021164021166,0.02702702702702703,0.016103896103896103,0.10734463276836158,catalan
0.011363636363636364,0.0,0.006349206349206349,0.0,0.001038961038961039,0.11581920903954802,citrix
0.05681818181818182,0.0,0.009523809523809525,0.0,0.0374025974025974,0.00847457627118644,cms
0.011363636363636364,0.0,0.020105820105820106,0.0,0.036883116883116886,0.00847457627118644,cobol
0.19318181818181818,0.0,0.04973544973544974,0.0,0.0587012987012987,0.03954802259887005,confluence
0.0,0.0,0.0010582010582010583,0.0,0.016103896103896103,0.0,cordova
0.011363636363636364,0.0,0.0010582010582010583,0.0,0.0,0.02824858757062147,cpd
0.3125,0.0,0.07301587301587302,0.0,0.06545454545454546,0.08757062146892655,crm
0.005681818181818182,0.0,0.0010582010582010583,0.0,0.012987012987012988,0.011299435028248588,crystal
0.11931818181818182,0.06666666666666667,0.025396825396825397,0.013513513513513514,0.5516883116883117,0.03389830508474576,css
0.0,0.0,0.010582010582010583,0.0,0.0,0.0,dataguard
0.0,0.0,0.023280423280423283,0.0,0.005714285714285714,0.002824858757062147,dax
0.03409090909090909,0.0,0.04973544973544974,0.0,0.036883116883116886,0.014124293785310734,db2
0.017045454545454544,0.0,0.05714285714285715,0.0,0.0025974025974025974,0.01694915254237288,dba
0.017045454545454544,0.0,0.05185185185185186,0.0,0.001038961038961039,0.0,dbt
0.03977272727272727,0.0,0.005291005291005292,0.0,0.06961038961038961,0.002824858757062147,ddd
0.005681818181818182,0.0,0.0,0.0,0.01818181818181818,0.0,delphi
0.022727272727272728,0.3333333333333333,0.025396825396825397,0.013513513513513514,0.005194805194805195,0.5423728813559322,directorio activo
0.02840909090909091,0.06666666666666667,0.006349206349206349,0.013513513513513514,0.06441558441558441,0.011299435028248588,django
0.19886363636363638,0.13333333333333333,0.2878306878306878,0.2567567567567568,0.3703896103896104,0.3389830508474576,docker
0.022727272727272728,0.0,0.005291005291005292,0.0,0.022857142857142857,0.005649717514124294,drupal
0.005681818181818182,0.0,0.007407407407407408,0.02702702702702703,0.003116883116883117,0.06779661016949153,dynatrace
0.02840909090909091,0.0,0.004232804232804233,0.0,0.056623376623376624,0.005649717514124294,eclipse
0.017045454545454544,0.0,0.05925925925925926,0.013513513513513514,0.05714285714285714,0.059322033898305086,elasticsearch
0.02840909090909091,0.06666666666666667,0.2380952380952381,0.13513513513513514,0.04155844155844156,0.014124293785310734,etl
0.005681818181818182,0.06666666666666667,0.007407407407407408,0.0,0.006233766233766234,0.06497175141242938,euskera
0.42045454545454547,0.26666666666666666,0.2613756613756614,0.06756756756756757,0.03844155844155844,0.268361581920904,excel
0.005681818181818182,0.0,0.005291005291005292,0.06756756756756757,0.023896103896103894,0.0,fastapi
0.011363636363636364,0.0,0.005291005291005292,0.10810810810810811,0.033766233766233764,0.005649717514124294,flask
0.011363636363636364,0.0,0.0010582010582010583,0.0,0.03272727272727273,0.0,flutter
0.005681818181818182,0.2,0.0021164021164021165,0.0,0.004675324675324675,0.268361581920904,fortinet
0.005681818181818182,0.0,0.0,0.0,0.007792207792207792,0.05649717514124294,fpga
0.7272727272727273,0.6666666666666666,0.28994708994708995,0.44594594594594594,0.814025974025974,0.3248587570621469,framework
