administracion,ciberseguridad,data driven,machine learning engineer,programador,sistemas,herramienta
0.0,0.0,0.05185185185185185,0.06756756756756757,0.0032639738882088943,0.0075675675675675675,Big Query
0.003372681281618887,0.0,0.010699588477366255,0.0,0.03508771929824561,0.001081081081081081,abap
0.013490725126475547,0.0,0.00905349794238683,0.0,0.02733578131374949,0.011891891891891892,adobe
0.016863406408094434,0.06557377049180328,0.014814814814814815,0.0,0.024887800897592818,0.03135135135135135,aleman
0.00505902192242833,0.01639344262295082,0.006584362139917695,0.0,0.0012239902080783353,0.002162162162162162,amazon grc
0.12310286677908937,0.1639344262295082,0.43868312757201644,0.32432432432432434,0.2941656466748266,0.2810810810810811,amazon ws
0.06408094435075885,0.03278688524590164,0.02880658436213992,0.013513513513513514,0.42268461852305184,0.022702702702702703,angular
0.003372681281618887,0.0,0.0024691358024691358,0.0,0.04773561811505508,0.0,angularjs
0.01854974704890388,0.0,0.12016460905349793,0.013513513513513514,0.07221542227662178,0.05405405405405406,apache
0.0,0.0,0.006584362139917695,0.0,0.004895960832313341,0.0,apigee
0.13659359190556492,0.01639344262295082,0.097119341563786,0.04054054054054054,0.4467564259485924,0.04540540540540541,apirest
0.0016863406408094434,0.0,0.0024691358024691358,0.0,0.0024479804161566705,0.002162162162162162,appian
0.045531197301854974,0.0,0.0024691358024691358,0.0,0.005711954304365565,0.001081081081081081,appium
0.003372681281618887,0.0,0.00411522633744856,0.0,0.0795593635250918,0.0,aspnet
0.14165261382799324,0.22950819672131148,0.405761316872428,0.20270270270270271,0.23051815585475316,0.3145945945945946,azure
0.00505902192242833,0.01639344262295082,0.13580246913580246,0.05405405405405406,0.010607915136678907,0.003243243243243243,azure databricks
0.14671163575042157,0.06557377049180328,0.345679012345679,0.04054054054054054,0.44920440636474906,0.23027027027027028,base de datos
0.0,0.0,0.0,0.0,0.0012239902080783353,0.0,beautifulsoup
0.09106239460370995,0.01639344262295082,0.29876543209876544,0.06756756756756757,0.09751121991024071,0.04864864864864865,bi
0.06745362563237774,0.19672131147540983,0.2897119341563786,0.16216216216216217,0.08404732762137902,0.06594594594594595,big data
0.013490725126475547,0.0,0.0032921810699588477,0.0,0.08486332109343125,0.003243243243243243,bootstrap
0.1315345699831366,0.13114754098360656,0.08065843621399177,0.13513513513513514,0.5393716850265198,0.15783783783783784,c++
0.0387858347386172,0.01639344262295082,0.01646090534979424,0.02702702702702703,0.012647898816809465,0.041081081081081085,catalan
0.003372681281618887,0.0,0.0049382716049382715,0.0,0.0008159934720522236,0.04432432432432432,citrix
0.016863406408094434,0.0,0.007407407407407408,0.0,0.02937576499388005,0.003243243243243243,cms
0.003372681281618887,0.0,0.015637860082304528,0.0,0.028967768257853937,0.003243243243243243,cobol
0.05733558178752107,0.0,0.03868312757201646,0.0,0.046103631170950635,0.015135135135135135,confluence
0.0,0.0,0.0008230452674897119,0.0,0.012647898816809465,0.0,cordova
0.003372681281618887,0.0,0.0008230452674897119,0.0,0.0,0.010810810810810811,cpd
0.09274873524451939,0.0,0.056790123456790124,0.0,0.051407588739290085,0.03351351351351351,crm
0.0016863406408094434,0.0,0.0008230452674897119,0.0,0.010199918400652794,0.004324324324324324,crystal
0.03541315345699831,0.01639344262295082,0.019753086419753086,0.013513513513513514,0.43329253365973075,0.012972972972972972,css
0.0,0.0,0.00823045267489712,0.0,0.0,0.0,dataguard
0.0,0.0,0.01810699588477366,0.0,0.00448796409628723,0.001081081081081081,dax
0.01011804384485666,0.0,0.03868312757201646,0.0,0.028967768257853937,0.005405405405405406,db2
0.00505902192242833,0.0,0.044444444444444446,0.0,0.002039983680130559,0.006486486486486486,dba
0.00505902192242833,0.0,0.040329218106995884,0.0,0.0008159934720522236,0.0,dbt
0.011804384485666104,0.0,0.00411522633744856,0.0,0.05467156262749898,0.001081081081081081,ddd
0.0016863406408094434,0.0,0.0,0.0,0.014279885760913913,0.0,delphi
0.006745362563237774,0.0819672131147541,0.019753086419753086,0.013513513513513514,0.004079967360261118,0.20756756756756756,directorio activo
0.008431703204047217,0.01639344262295082,0.0049382716049382715,0.013513513513513514,0.05059159526723786,0.004324324324324324,django
0.05902192242833052,0.03278688524590164,0.22386831275720165,0.2567567567567568,0.2909016727866177,0.12972972972972974,docker
0.006745362563237774,0.0,0.00411522633744856,0.0,0.01795185638514892,0.002162162162162162,drupal
0.0016863406408094434,0.0,0.005761316872427983,0.02702702702702703,0.0024479804161566705,0.025945945945945945,dynatrace
0.008431703204047217,0.0,0.0032921810699588477,0.0,0.044471644226846185,0.002162162162162162,eclipse
0.00505902192242833,0.0,0.046090534979423864,0.013513513513513514,0.044879640962872294,0.022702702702702703,elasticsearch
0.008431703204047217,0.01639344262295082,0.18518518518518517,0.13513513513513514,0.032639738882088945,0.005405405405405406,etl
0.0016863406408094434,0.01639344262295082,0.005761316872427983,0.0,0.004895960832313341,0.024864864864864864,euskera
0.12478920741989881,0.06557377049180328,0.20329218106995883,0.06756756756756757,0.03019175846593227,0.10270270270270271,excel
0.0016863406408094434,0.0,0.00411522633744856,0.06756756756756757,0.018767849857201143,0.0,fastapi
0.003372681281618887,0.0,0.00411522633744856,0.10810810810810811,0.026519787841697267,0.002162162162162162,flask
0.003372681281618887,0.0,0.0008230452674897119,0.0,0.025703794369645042,0.0,flutter
0.0016863406408094434,0.04918032786885246,0.0016460905349794238,0.0,0.0036719706242350062,0.10270270270270271,fortinet
0.0016863406408094434,0.0,0.0,0.0,0.006119951040391677,0.021621621621621623,fpga
